"DOTA_Tooltip_ability_mage_blink"	"闪烁"
"DOTA_Tooltip_ability_mage_blink_Description_lv1"	"向面向方向传送最远%distance%码，遇到障碍物则会被阻挡。<br>最多拥有%CustomAbilityCharges%层充能。<br>不会打断任何施法，可以在被控制时施放。   "
"DOTA_Tooltip_modifier_mage_fire_shield"	"火焰护盾"
"DOTA_Tooltip_modifier_mage_fire_shield_Description"	"吸收%dMODIFIER_PROPERTY_TOOLTIP%点伤害，受到近战攻击时发射一枚火球，对攻击者造成魔法伤害"

"DOTA_Tooltip_ability_mage_fireblast"	"火焰爆轰"
"DOTA_Tooltip_ability_mage_fireblast_Description_lv1"	"以一波火焰轰击目标，造成%sp_factor%点魔法伤害。<br>最多拥有%max_charges%层充能。"
"DOTA_Tooltip_ability_mage_fireblast_Description_lv2"	"以一波火焰轰击目标，造成%sp_factor%点魔法伤害。<br>最多拥有%max_charges%层充能，必定造成暴击。"
"DOTA_Tooltip_ability_mage_fireblast_Description_lv3"	"以一波火焰轰击目标，造成%sp_factor%点魔法伤害。<br>最多拥有%max_charges%层充能，必定造成暴击。<br>可以在光击阵施法时施放，可以在被控制时施放。    "
"DOTA_Tooltip_ability_mage_fireblast_Description_lv4"	"以一波火焰轰击目标，造成%sp_factor%点魔法伤害。<br>最多拥有%max_charges%层充能，必定造成暴击。<br>可以在光击阵施法时施放，可以在被控制时施放。   "

"DOTA_Tooltip_ability_mage_searing_arrows"	"灼热之箭"
"DOTA_Tooltip_ability_mage_searing_arrows_Description_lv1"	"发射一枚燃烧的箭矢，箭矢造成%sp_factor%点魔法伤害。"
"DOTA_Tooltip_ability_mage_searing_arrows_Description_lv2"	"发射一枚燃烧的箭矢，箭矢造成%sp_factor%点魔法伤害。<br>每当灼热之箭未能造成暴击，它就会额外获得%bonus_crit_chance%%%的魔法暴击几率，直至它暴击。"
"DOTA_Tooltip_ability_mage_searing_arrows_Description_lv3"	"发射一枚燃烧的箭矢，箭矢造成%sp_factor%点魔法伤害。<br>每当灼热之箭未能造成暴击，它就会额外获得%bonus_crit_chance%%%的魔法暴击几率，直至它暴击。"
"DOTA_Tooltip_modifier_mage_searing_arrows"	"灼热之箭"
"DOTA_Tooltip_modifier_mage_searing_arrows_Description"	"灼热之箭额外拥有%dMODIFIER_PROPERTY_TOOLTIP%%%暴击几率"

"DOTA_Tooltip_ability_mage_light_strike_array"	"光击阵"
"DOTA_Tooltip_ability_mage_light_strike_array_Description_lv1"	"经过%spell_time%秒施法前摇后，召唤一根火柱，燃烧目标区域内的所有敌人，造成%sp_factor%点魔法伤害，并使他们的移动速度降低%slow_down_pct%%%，持续%duration%秒。"
"DOTA_Tooltip_ability_mage_light_strike_array_Description_lv2"	"经过%spell_time%秒施法前摇后，召唤一根火柱，燃烧目标区域内的所有敌人，造成%sp_factor%点魔法伤害，并使他们的移动速度降低%slow_down_pct%%%，持续%duration%秒。"
"DOTA_Tooltip_modifier_mage_light_strike_array"	"光击阵"
"DOTA_Tooltip_modifier_mage_light_strike_array_Description"	"移动速度降低"

"DOTA_Tooltip_ability_mage_laguna_blade"	"神灭斩"
