"Character_attributes_stat" "主要属性"
"Character_attributes_attack" "攻击属性"
"Character_attributes_defense" "防御属性"
"Character_attributes_crit" "暴击属性"

"Character_attribute_strength"  "力量"
"Character_attribute_agility"  "敏捷"
"Character_attribute_intellect"  "智力"
"Character_attribute_total_attack_damage"  "攻击力"
"Character_attribute_attack_speed"  "攻击速度"
"Character_attribute_spell_power"  "法术强度"
"Character_attribute_cooldown_reduction"  "冷却缩减"
"Character_attribute_physical_armor"  "护甲"
"Character_attribute_magical_armor"  "魔法抗性"
"Character_attribute_movespeed"  "移动速度"
"Character_attribute_physical_crit_chance"  "物理暴击概率"
"Character_attribute_magical_crit_chance"  "魔法暴击概率"
"Character_attribute_physical_crit_damage"  "物理暴击伤害"
"Character_attribute_magical_crit_damage"  "魔法暴击伤害"

"hud_text_tooltip_Character_strength"   "为你提供生命恢复"
"hud_text_tooltip_Character_agility"   "为你提供物理暴击概率，物理暴击伤害"
"hud_text_tooltip_Character_intellect"   "为你提供魔法暴击概率，魔法暴击伤害，魔法恢复"
